
3222;-1862;1368;
3306;-1723;1344;
3345;-1620;1296;
3428;-1468;1277;
3465;-1302;1247;
3481;-1173;1224;
3503;-1055;1163;
3536;-895;1114;
3548;-819;1075;
3543;-722;1025;
3543;-722;1025;
3555;-637;965;
3554;-496;915;
3552;-420;857;
3524;-269;791;
3496;-132;707;
3449;34;644;
3400;140;557;
3329;290;482;
3242;425;396;
3148;562;333;
3066;663;267;
2945;785;206;
2856;864;139;
2763;956;89;
2632;1008;17;
2506;1075;-31;
2391;1154;-85;
2281;1207;-112;
2154;1248;-168;
1992;1287;-198;
1855;1353;-249;
1716;1343;-276;
1562;1395;-324;
1411;1401;-342;
1257;1405;-372;
1086;1375;-393;
929;1376;-406;
782;1346;-398;
605;1330;-398;
501;1274;-371;
374;1269;-373;
245;1217;-354;
147;1164;-346;
19;1108;-311;
-93;1046;-298;
-212;955;-283;
-314;904;-259;
-435;810;-227;
-556;739;-207;
-635;633;-172;
-752;531;-145;
-836;410;-109;
-928;291;-82;
-986;208;-59;
-1061;85;-28;
-1101;-28;-2;
-1168;-145;23;
-1192;-240;26;
-1230;-342;39;
-1234;-399;49;
-1264;-464;73;
-1270;-511;61;
-1278;-573;76;
-1292;-621;84;
-1290;-702;97;
-1298;-740;78;
-1301;-804;90;
-1301;-835;93;
-1288;-853;105;
-1301;-916;86;
-1282;-966;105;
-1281;-1007;112;
-1289;-1057;116;
-1289;-1057;92;
-1294;-1120;92;
-1272;-1175;103;
-1260;-1225;99;
-1246;-1275;103;
-1246;-1322;100;
-1222;-1374;103;
-1230;-1443;105;
-1223;-1475;108;
-1216;-1512;89;
-1185;-1530;95;
-1194;-1582;74;
-1166;-1580;80;
-1159;-1598;56;
-1137;-1653;60;
-1111;-1668;27;
-1085;-1723;14;
-1068;-1759;-16;
-1018;-1786;-28;
-1015;-1837;-63;
-948;-1858;-74;
-963;-1929;-58;
-933;-1992;-22;
-919;-2036;-16;
-879;-2115;-4;
-829;-2181;12;
-785;-2233;23;
-772;-2285;57;
-720;-2354;89;
-674;-2411;116;
-629;-2457;154;
-588;-2537;209;
-536;-2592;264;
-511;-2651;311;
-414;-2710;334;
-342;-2780;314;
-247;-2828;303;
-198;-2871;304;
-105;-2901;322;
-2;-2992;338;
83;-3008;335;
175;-3064;350;
273;-3095;368;
336;-3138;405;
399;-3162;436;
474;-3197;484;
559;-3227;543;
632;-3229;604;
729;-3245;646;
819;-3265;695;
903;-3258;738;
997;-3274;773;
1077;-3265;779;
1182;-3259;802;
1254;-3268;813;
1357;-3231;823;
1465;-3260;802;
1558;-3222;825;
1692;-3197;837;
1766;-3168;851;
1894;-3145;839;
1990;-3103;851;
2110;-3048;855;
2110;-3048;855;
2192;-3008;854;
2301;-2996;831;
2391;-2882;855;
2456;-2829;841;
2543;-2768;846;
2579;-2737;837;
2616;-2731;852;
2669;-2689;833;
2705;-2638;824;
2769;-2645;778;
2759;-2593;762;
2768;-2575;735;
2783;-2547;668;
2794;-2555;567;
2791;-2527;503;
2822;-2548;416;
2818;-2473;376;
2810;-2516;321;
2805;-2461;287;
2785;-2496;206;
2766;-2475;123;
2754;-2448;54;
2749;-2441;-23;
2740;-2412;-88;
2718;-2355;-169;
2704;-2353;-237;
2719;-2269;-312;
